q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,symptomat recovery_rate,asymptomatic_recovery_rate,LogLikelihood,R0,i_chain,
0.037235,0.098053,0.274097,0.028239,0.999571,0.001315,0.637357,2.467212,5.475764,8.623609,-7948.078322,2.220764,5.000000,
0.037235,0.098053,0.274097,0.028239,0.999571,0.001315,0.637357,2.467212,5.475764,8.623609,-7948.078322,2.220764,5.000000,
0.037235,0.098053,0.274097,0.028239,0.999571,0.001315,0.637357,2.467212,5.475764,8.623609,-7948.078322,2.220764,5.000000,
0.037235,0.098053,0.274097,0.028239,0.999571,0.001315,0.637357,2.467212,5.475764,8.623609,-7948.078322,2.220764,5.000000,
0.037235,0.098053,0.274097,0.028239,0.999571,0.001315,0.637357,2.467212,5.475764,8.623609,-7948.078322,2.220764,5.000000,
0.037235,0.098053,0.274097,0.028239,0.999571,0.001315,0.637357,2.467212,5.475764,8.623609,-7948.078322,2.220764,5.000000,
0.037235,0.098053,0.274097,0.028239,0.999571,0.001315,0.637357,2.467212,5.475764,8.623609,-7948.078322,2.220764,5.000000,
0.037235,0.098053,0.274097,0.028239,0.999571,0.001315,0.637357,2.467212,5.475764,8.623609,-7948.078322,2.220764,5.000000,
0.037235,0.098053,0.274097,0.028239,0.999571,0.001315,0.637357,2.467212,5.475764,8.623609,-7948.078322,2.220764,5.000000,
0.037235,0.098053,0.274097,0.028239,0.999571,0.001315,0.637357,2.467212,5.475764,8.623609,-7948.078322,2.220764,5.000000,
0.037235,0.098053,0.274097,0.028239,0.999571,0.001315,0.637357,2.467212,5.475764,8.623609,-7948.078322,2.220764,5.000000,
0.037235,0.098053,0.274097,0.028239,0.999571,0.001315,0.637357,2.467212,5.475764,8.623609,-7948.078322,2.220764,5.000000,
0.037235,0.098053,0.274097,0.028239,0.999571,0.001315,0.637357,2.467212,5.475764,8.623609,-7948.078322,2.220764,5.000000,
0.037235,0.098053,0.274097,0.028239,0.999571,0.001315,0.637357,2.467212,5.475764,8.623609,-7948.078322,2.220764,5.000000,
0.037235,0.098053,0.274097,0.028239,0.999571,0.001315,0.637357,2.467212,5.475764,8.623609,-7948.078322,2.220764,5.000000,
0.037235,0.098053,0.274097,0.028239,0.999571,0.001315,0.637357,2.467212,5.475764,8.623609,-7948.078322,2.220764,5.000000,
